epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,4924.45,0.98579,1.17356,1.09425,0.56791,0.6591,0.57584,0.27168,1.23834,1.63999,1.3243,0.000692031,0.000692031,0.000692031
115,4946.2,0.97833,1.17022,1.09791,0.59312,0.59377,0.56379,0.26845,1.25066,1.68719,1.33443,0.000687222,0.000687222,0.000687222
116,4967.44,0.97288,1.13744,1.09031,0.57821,0.64748,0.56174,0.26241,1.25239,1.64934,1.33808,0.000682392,0.000682392,0.000682392
117,4989.27,0.97814,1.18578,1.0963,0.59369,0.66753,0.58593,0.27348,1.24466,1.63681,1.33969,0.000677543,0.000677543,0.000677543
118,5009.36,0.9729,1.15158,1.09367,0.5709,0.6537,0.57272,0.26159,1.24432,1.63183,1.32311,0.000672675,0.000672675,0.000672675
119,5029.42,0.97432,1.16437,1.08965,0.60912,0.62396,0.58211,0.26756,1.25188,1.64209,1.34434,0.000667789,0.000667789,0.000667789
120,5052.84,0.96838,1.13949,1.0842,0.57333,0.6544,0.58626,0.27625,1.24771,1.65627,1.33994,0.000662885,0.000662885,0.000662885
121,5074.45,0.96792,1.1335,1.08853,0.60611,0.597,0.55528,0.2559,1.26661,1.69495,1.34434,0.000657963,0.000657963,0.000657963
122,5095.07,0.96498,1.15573,1.08472,0.56589,0.6623,0.58539,0.26785,1.25371,1.60961,1.3355,0.000653025,0.000653025,0.000653025
123,5114.26,0.97311,1.13715,1.08721,0.57174,0.64732,0.57121,0.26593,1.24779,1.64553,1.31734,0.000648071,0.000648071,0.000648071
124,5133.71,0.9634,1.14018,1.08278,0.58326,0.63505,0.57169,0.26653,1.24958,1.65605,1.32798,0.000643101,0.000643101,0.000643101
125,5152.41,0.95894,1.1245,1.07753,0.59186,0.65911,0.57212,0.26502,1.25392,1.64898,1.3342,0.000638115,0.000638115,0.000638115
126,5170.74,0.96621,1.14317,1.0787,0.57852,0.64963,0.57812,0.27403,1.24738,1.64418,1.33192,0.000633115,0.000633115,0.000633115
127,5190.95,0.96274,1.1331,1.07647,0.57658,0.65325,0.56336,0.26732,1.25801,1.67709,1.34258,0.000628101,0.000628101,0.000628101
128,5208.97,0.97557,1.14917,1.08293,0.5813,0.65319,0.5726,0.26601,1.26605,1.64477,1.34798,0.000623074,0.000623074,0.000623074
129,5229.48,0.95041,1.11585,1.07048,0.58384,0.63524,0.569,0.26385,1.26774,1.63263,1.3466,0.000618034,0.000618034,0.000618034
130,5252.37,0.9585,1.12607,1.08056,0.53081,0.66723,0.55393,0.25457,1.25072,1.66303,1.3419,0.000612981,0.000612981,0.000612981
131,5273.49,0.95393,1.09222,1.07114,0.60494,0.64642,0.57418,0.26268,1.27203,1.6643,1.33956,0.000607916,0.000607916,0.000607916
132,5292.73,0.96174,1.10467,1.07395,0.5738,0.64374,0.56794,0.26063,1.26735,1.64939,1.35392,0.00060284,0.00060284,0.00060284
133,5317.29,0.96138,1.11426,1.07273,0.56433,0.65259,0.56778,0.26424,1.273,1.63499,1.35754,0.000597754,0.000597754,0.000597754
134,5338.84,0.95157,1.09775,1.0664,0.55484,0.66701,0.56551,0.26699,1.27222,1.63406,1.34524,0.000592657,0.000592657,0.000592657
135,5362.19,0.95662,1.11196,1.06936,0.57276,0.65904,0.57667,0.26911,1.26307,1.58505,1.33474,0.000587551,0.000587551,0.000587551
136,5383.47,0.95347,1.09167,1.06296,0.59521,0.67341,0.59424,0.27876,1.26547,1.62957,1.34887,0.000582435,0.000582435,0.000582435
137,5405.76,0.93946,1.07813,1.05965,0.59772,0.64617,0.58822,0.27504,1.2506,1.62796,1.33548,0.000577311,0.000577311,0.000577311
138,5427.76,0.94233,1.08318,1.06216,0.58342,0.65783,0.58421,0.27446,1.25887,1.64186,1.34239,0.000572179,0.000572179,0.000572179
139,5448.92,0.93786,1.08334,1.05554,0.55724,0.64938,0.57207,0.27226,1.25211,1.65647,1.35031,0.00056704,0.00056704,0.00056704
140,5469.14,0.94297,1.08074,1.06445,0.56651,0.68869,0.5939,0.27763,1.24249,1.62062,1.34892,0.000561894,0.000561894,0.000561894
141,5490.91,0.9478,1.0815,1.06789,0.58972,0.65611,0.57068,0.26702,1.2586,1.62028,1.35352,0.000556742,0.000556742,0.000556742
142,5511.38,0.92911,1.06629,1.04973,0.56804,0.65456,0.56414,0.26158,1.25904,1.65727,1.34946,0.000551584,0.000551584,0.000551584
143,5531.52,0.94166,1.07273,1.06223,0.60269,0.64844,0.58759,0.27351,1.25712,1.62579,1.3429,0.000546421,0.000546421,0.000546421
144,5551.53,0.93108,1.07468,1.05002,0.58275,0.66016,0.57873,0.27332,1.25974,1.65588,1.35714,0.000541253,0.000541253,0.000541253
145,5572.2,0.93865,1.07052,1.04837,0.61945,0.63853,0.58309,0.26994,1.25736,1.66164,1.3517,0.000536081,0.000536081,0.000536081
146,5593.46,0.92711,1.05871,1.04628,0.59432,0.64293,0.57107,0.27065,1.24286,1.68028,1.33943,0.000530906,0.000530906,0.000530906
147,5613.71,0.94396,1.05788,1.06181,0.57232,0.64957,0.5738,0.27088,1.24573,1.6575,1.34223,0.000525728,0.000525728,0.000525728
148,5633.3,0.94114,1.08301,1.057,0.58686,0.66422,0.57847,0.27303,1.26302,1.70064,1.34851,0.000520548,0.000520548,0.000520548
149,5652.73,0.93192,1.0585,1.05087,0.58455,0.65936,0.58259,0.27341,1.24408,1.65983,1.33628,0.000515366,0.000515366,0.000515366
150,5674.07,0.91575,1.03015,1.04471,0.55331,0.67767,0.58403,0.27296,1.24734,1.67201,1.33945,0.000510184,0.000510184,0.000510184
151,5695.1,0.92299,1.05401,1.04694,0.57951,0.6552,0.57181,0.27139,1.24324,1.63446,1.33931,0.000505,0.000505,0.000505
152,5717.17,0.93137,1.04814,1.04839,0.586,0.65985,0.57867,0.27552,1.25139,1.65346,1.3457,0.000499816,0.000499816,0.000499816
153,5737.27,0.9215,1.03408,1.03672,0.54078,0.66711,0.57631,0.27486,1.25421,1.64678,1.35042,0.000494634,0.000494634,0.000494634
154,5758.09,0.91954,1.03941,1.04194,0.60109,0.64482,0.58206,0.27156,1.27325,1.66091,1.37039,0.000489452,0.000489452,0.000489452
155,5779.23,0.9335,1.05547,1.04829,0.58805,0.65649,0.57302,0.27227,1.25642,1.67062,1.34818,0.000484272,0.000484272,0.000484272
156,5800.05,0.91202,1.0307,1.03504,0.59359,0.63821,0.57193,0.26634,1.25713,1.66934,1.35521,0.000479094,0.000479094,0.000479094
157,5820.48,0.92373,1.04707,1.04963,0.56779,0.65884,0.57783,0.27099,1.25988,1.64815,1.3515,0.000473919,0.000473919,0.000473919
158,5841.44,0.92795,1.0456,1.04265,0.54847,0.67674,0.56926,0.26737,1.25826,1.64108,1.34885,0.000468747,0.000468747,0.000468747
159,5862.47,0.91937,1.02793,1.03764,0.5932,0.65384,0.57823,0.26568,1.2585,1.64946,1.34242,0.000463579,0.000463579,0.000463579
160,5883.65,0.9239,1.02559,1.03847,0.58404,0.65392,0.59165,0.26971,1.27518,1.66944,1.366,0.000458416,0.000458416,0.000458416
161,5903.79,0.92015,1.04894,1.03966,0.56155,0.66287,0.57296,0.26763,1.26258,1.64645,1.35344,0.000453258,0.000453258,0.000453258
162,5924.87,0.90083,1.01211,1.03858,0.56096,0.65311,0.56663,0.27035,1.257,1.64553,1.35234,0.000448106,0.000448106,0.000448106
163,5944.6,0.90238,1.01403,1.03127,0.56019,0.67467,0.57864,0.27405,1.25865,1.6548,1.35044,0.00044296,0.00044296,0.00044296
164,5965.31,0.90231,1.0174,1.02218,0.6023,0.62252,0.56793,0.26073,1.27828,1.67883,1.37119,0.000437821,0.000437821,0.000437821
165,5985.91,0.90316,1.01345,1.02992,0.5833,0.6234,0.55399,0.26769,1.26488,1.67522,1.36406,0.000432689,0.000432689,0.000432689
166,6006.96,0.901,1.0069,1.02796,0.58524,0.63997,0.55809,0.26423,1.25971,1.64961,1.36252,0.000427565,0.000427565,0.000427565
